NormalUp,NormalDown,Down0.8,Up1.2,Up1.4,Up1.6
4-中旬,2006.8018704232436,-11883.677978927008,2006.8018704232436,2006.8018704232436,2006.8018704232436,2006.8018704232436
4-下旬,1945.5746929584207,-12298.432538927147,1945.5746929584207,1945.5746929584207,1945.5746929584207,1945.5746929584207
5-上旬,1889.0325859161358,-12713.187098927287,1889.0325859161358,1889.0325859161358,1889.0325859161358,1889.0325859161358
5-中旬,1832.4904788738509,-13069.016858927407,1832.4904788738509,1832.4904788738509,1832.4904788738509,1832.4904788738509
5-下旬,1770.8081802822671,-13424.846618927528,1770.8081802822671,1770.8081802822671,1770.8081802822671,1770.8081802822671
6-上旬,1755.7843154935272,-13813.024538927657,1755.7843154935272,1755.7843154935272,1755.7843154935272,1755.7843154935272
6-中旬,1777.415954930159,-13159.529498927437,1777.415954930159,1777.415954930159,1777.415954930159,1777.415954930159
6-下旬,1799.0475943667907,-12506.034458927219,1799.0475943667907,1799.0475943667907,1799.0475943667907,1799.0475943667907
7-上旬,1821.61624788793,-11852.539418927,1821.61624788793,1821.61624788793,1821.61624788793,1821.61624788793
7-中旬,1844.1849014090694,-10894.916378926677,1844.1849014090694,1844.1849014090694,1844.1849014090694,1844.1849014090694
7-下旬,1868.8052507048578,-9937.293338926354,1868.8052507048578,1868.8052507048578,1868.8052507048578,1868.8052507048578
8-上旬,1847.3342422541418,-8892.613658926002,1847.3342422541418,1847.3342422541418,1847.3342422541418,1847.3342422541418
8-中旬,1825.8632338034258,-6281.294618925122,1825.8632338034258,1825.8632338034258,1825.8632338034258,1825.8632338034258
8-下旬,1802.440315493554,-3669.975578924241,1802.440315493554,1802.440315493554,1802.440315493554,1802.440315493554
9-上旬,1772.2684619724105,-821.2638989232807,1772.2684619724105,1772.2684619724105,1772.2684619724105,1772.2684619724105
9-中旬,1742.0966084512668,680.5285705386094,1742.0966084512668,1742.0966084512668,1742.0966084512668,1742.0966084512668
9-下旬,1722.268416901959,726.1810388059697,1722.268416901959,1722.268416901959,1722.268416901959,1722.268416901959
10-上旬,1701.697915493498,847.7616901409103,1701.697915493498,1701.697915493498,1701.697915493498,1701.697915493498
10-中旬,1691.4710760568723,994.9653859156392,1691.4710760568723,1691.4710760568723,1691.4710760568723,1691.4710760568723
10-下旬,1680.3145239441901,1019.0916732395967,1680.3145239441901,1680.3145239441901,1680.3145239441901,1680.3145239441901
11-上旬,1632.339402817403,1022.0998535212887,1632.339402817403,1632.339402817403,1632.339402817403,1632.339402817403
11-中旬,1584.9885521131505,1088.7081690142834,1584.9885521131505,1584.9885521131505,1584.9885521131505,1584.9885521131505
11-下旬,1547.3205859159466,1155.3164845072781,1547.3205859159466,1547.3205859159466,1547.3205859159466,1547.3205859159466
12-上旬,1493.7233802821142,1166.059290141087,1493.7233802821142,1493.7233802821142,1493.7233802821142,1493.7233802821142
12-中旬,1440.126174648282,1160.3836619720698,1440.126174648282,1440.126174648282,1440.126174648282,1440.126174648282
12-下旬,1381.65649577501,1147.817938028401,1381.65649577501,1381.65649577501,1381.65649577501,1381.65649577501
1-上旬,1320.563177465117,1114.5162140847203,1320.563177465117,1320.563177465117,1320.563177465117,1320.563177465117
1-中旬,1259.4698591552237,1069.8997408452587,1259.4698591552237,1259.4698591552237,1259.4698591552237,1259.4698591552237
1-下旬,1192.8226028171584,1013.1824000001569,1192.8226028171584,1192.8226028171584,1192.8226028171584,1192.8226028171584
2-上旬,1127.981228169235,964.1461408452001,1127.981228169235,1127.981228169235,1127.981228169235,1127.981228169235
2-中旬,1063.1398535213116,909.6119211268599,1063.1398535213116,1063.1398535213116,1063.1398535213116,1063.1398535213116
2-下旬,1010.0878197184651,864.9930140845815,1010.0878197184651,1010.0878197184651,1010.0878197184651,1010.0878197184651
3-上旬,942.448788732512,831.5014535211826,942.448788732512,942.448788732512,942.448788732512,942.448788732512
3-中旬,874.809757746559,781.2507267605913,874.809757746559,874.809757746559,874.809757746559,874.809757746559
3-下旬,801.4634591549687,731,801.4634591549687,801.4634591549687,801.4634591549687,801.4634591549687
